"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"Dec",2014,1,"Release Manager","Iowa City","IA","UNITED STATES","Female","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Full Stack Developer","North Liberty","IA","UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Site Reliability Software Engineer","Milwaukee","WI","UNITED STATES","Female","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Supervisor | Microsoft Dynamics 365 for Finance and Operations","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Machine Learning Engineer","Austin","TX","UNITED STATES","Female","Business Analytics","Economics (Policy)",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Senior Software Developer","St. Louis","MO","UNITED STATES","Male","Management Information Systems","Accounting",NA,"Computer Science",NA,NA,NA,NA,NA
"Dec",2014,1,"M.S. Information Systems and Public Policy","Pittsburg","PA","CHINA","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Software Engineer","Des Moines","IA","UNITED STATES","Male","Management Information Systems",NA,NA,"Mathematics","Computer Science",NA,NA,NA,NA
"May",2014,1,"Risk Advisory Manager","Minneapolis","MN","UNITED STATES","Male","Management Information Systems","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Director, Trade Support Operations","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"IT Consultant","Des Moines","IA","UNITED STATES","Male","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Data Analyst/Engineer","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,"Sociology",NA,NA,NA,NA,NA
"Dec",2014,1,"Biomedical adn Health Informatics","Minneapolis","MN","CHINA","Male","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Director of IT","Iowa City","IA","UNITED STATES","Male","Management Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Tech Lead @ Data Science","Boston","MA","CHINA","Male","Management Information Systems","Economics (Business)",NA,NA,NA,NA,NA,NA,NA
"May",2014,1,"Hadoop Developer","Toronto","Canada","UNITED STATES","Male","Management Information Systems","Mathematics (Program C)","Finance",NA,NA,NA,NA,NA,NA
"Dec",2014,1,"Business Optimization Manager","Chicago","IL","CHINA","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2014,3,"System Support Administrator",NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,3,NA,NA,NA,"CHINA","Female","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"Dec",2014,3,"Front End Development","Iowa City","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2014,3,"Team Manager, Professional Services","Chicago","IL","UNITED STATES","Female","Accounting","Finance","Business Analytics",NA,NA,NA,NA,NA,NA
"May",2015,0,NA,NA,NA,"CHINA","Female","Business Analytics","Economics (Business)",NA,NA,NA,NA,NA,NA,NA
"May",2015,0,NA,NA,NA,"UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,"Asian Languages and Literature (Chinese)",NA,NA,NA,NA,NA
"Dec",2015,0,NA,NA,NA,"UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2015,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,"Asian Languages and Literature (Chinese)",NA,NA,NA,NA,NA
"Dec",2015,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2015,0,NA,NA,NA,"CHINA","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,0,NA,NA,NA,"CHINA","Male","Information Systems",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"May",2015,1,"Senior Consultant, Management Consulting","Denver","CO","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Product Manager",NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Account Services Representative","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Senior Associate II","Denver","CO","UNITED STATES","Female","Marketing","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Production Support Manager","Seattle","WA","UNITED STATES","Male","Business Analytics",NA,NA,"Sport Studies",NA,NA,NA,NA,NA
"May",2015,1,"IT Business Analyst Lead","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
